---------------------- 1
#########################0.0
g:5 best (3):0,63 [0.0, 0.63, 0.0] [feas:17,not:33]
g:6 best (3):0,63 [0.0, 0.63, 0.0] [feas:18,not:32]
g:7 best (3):0,63 [0.0, 0.63, 0.0] [feas:23,not:27]
g:8 best (7):0,72 [0.0, 0.72, 0.0] [feas:30,not:20]
g:9 best (8):0,73 [0.0, 0.73, 0.0] [feas:41,not:9]
g:10 best (9):0,74 [0.0, 0.74, 0.0] [feas:50,not:0]
g:11 best (10):0,76 [0.0, 0.76, 0.0] [feas:50,not:0]
g:12 best (10):0,76 [0.0, 0.76, 0.0] [feas:50,not:0]
g:13 best (10):0,76 [0.0, 0.76, 0.0] [feas:50,not:0]
g:14 best (10):0,76 [0.0, 0.76, 0.0] [feas:50,not:0]
g:15 best (10):0,76 [0.0, 0.76, 0.0] [feas:50,not:0]
g:16 best (10):0,76 [0.0, 0.76, 0.0] [feas:50,not:0]
g:17 best (16):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:18 best (16):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:19 best (16):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:20 best (19):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:21 best (19):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:22 best (19):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:23 best (19):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:24 best (19):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:25 best (19):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:26 best (25):0,78 [0.0, 0.78, 0.0] [feas:50,not:0]
g:27 best (25):0,78 [0.0, 0.78, 0.0] [feas:50,not:0]
g:28 best (25):0,78 [0.0, 0.78, 0.0] [feas:50,not:0]
g:29 best (25):0,78 [0.0, 0.78, 0.0] [feas:50,not:0]
g:30 best (25):0,78 [0.0, 0.78, 0.0] [feas:50,not:0]
g:31 best (25):0,78 [0.0, 0.78, 0.0] [feas:50,not:0]
g:32 best (25):0,78 [0.0, 0.78, 0.0] [feas:50,not:0]
