---------------------- 1
#########################0.0
g:2 best (0):0,83 [0.0, 0.0, 0.83] [feas:17,not:33]
g:3 best (2):0,88 [0.0, 0.0, 0.88] [feas:24,not:26]
g:4 best (2):0,88 [0.0, 0.0, 0.88] [feas:34,not:16]
g:5 best (2):0,88 [0.0, 0.0, 0.88] [feas:44,not:6]
g:6 best (2):0,88 [0.0, 0.0, 0.88] [feas:50,not:0]
g:7 best (2):0,88 [0.0, 0.0, 0.88] [feas:50,not:0]
g:8 best (2):0,88 [0.0, 0.0, 0.88] [feas:50,not:0]
g:9 best (2):0,88 [0.0, 0.0, 0.88] [feas:50,not:0]
g:10 best (2):0,88 [0.0, 0.0, 0.88] [feas:50,not:0]
g:11 best (2):0,88 [0.0, 0.0, 0.88] [feas:50,not:0]
g:12 best (2):0,88 [0.0, 0.0, 0.88] [feas:50,not:0]
g:13 best (12):0,89 [0.0, 0.0, 0.89] [feas:50,not:0]
g:14 best (12):0,89 [0.0, 0.0, 0.89] [feas:50,not:0]
g:15 best (12):0,89 [0.0, 0.0, 0.89] [feas:50,not:0]
g:16 best (12):0,89 [0.0, 0.0, 0.89] [feas:50,not:0]
g:17 best (12):0,89 [0.0, 0.0, 0.89] [feas:50,not:0]
g:18 best (12):0,89 [0.0, 0.0, 0.89] [feas:50,not:0]
g:19 best (12):0,89 [0.0, 0.0, 0.89] [feas:50,not:0]
g:20 best (12):0,89 [0.0, 0.0, 0.89] [feas:50,not:0]
g:21 best (12):0,89 [0.0, 0.0, 0.89] [feas:50,not:0]
g:22 best (12):0,89 [0.0, 0.0, 0.89] [feas:50,not:0]
g:23 best (22):0,9 [0.0, 0.0, 0.9] [feas:50,not:0]
g:24 best (22):0,9 [0.0, 0.0, 0.9] [feas:50,not:0]
g:25 best (22):0,9 [0.0, 0.0, 0.9] [feas:50,not:0]
g:26 best (22):0,9 [0.0, 0.0, 0.9] [feas:50,not:0]
g:27 best (22):0,9 [0.0, 0.0, 0.9] [feas:50,not:0]
g:28 best (22):0,9 [0.0, 0.0, 0.9] [feas:50,not:0]
g:29 best (28):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:30 best (28):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:31 best (28):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:32 best (28):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:33 best (28):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:34 best (28):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:35 best (28):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:36 best (28):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:37 best (28):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:38 best (28):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:39 best (28):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:40 best (28):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:41 best (28):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:42 best (28):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:43 best (28):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:44 best (28):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:45 best (28):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:46 best (28):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:47 best (28):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:48 best (28):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:49 best (28):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:50 best (28):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:51 best (28):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:52 best (51):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:53 best (51):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:54 best (51):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:55 best (51):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:56 best (51):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:57 best (51):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:58 best (51):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:59 best (51):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:60 best (51):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:61 best (51):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:62 best (51):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:63 best (51):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:64 best (51):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:65 best (51):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:66 best (51):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:67 best (51):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:68 best (51):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:69 best (51):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:70 best (51):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:71 best (51):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:72 best (51):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:73 best (51):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:74 best (51):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:75 best (51):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:76 best (51):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:77 best (51):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:78 best (51):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:79 best (51):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:80 best (79):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:81 best (79):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
---------------------- 2
#########################0.0
g:2 best (0):0,77 [0.0, 0.0, 0.77] [feas:17,not:33]
g:3 best (0):0,77 [0.0, 0.0, 0.77] [feas:28,not:22]
g:4 best (0):0,77 [0.0, 0.0, 0.77] [feas:42,not:8]
g:5 best (4):0,8 [0.0, 0.0, 0.8] [feas:50,not:0]
g:6 best (5):0,88 [0.0, 0.0, 0.88] [feas:50,not:0]
g:7 best (5):0,88 [0.0, 0.0, 0.88] [feas:50,not:0]
g:8 best (5):0,88 [0.0, 0.0, 0.88] [feas:50,not:0]
g:9 best (5):0,88 [0.0, 0.0, 0.88] [feas:50,not:0]
g:10 best (5):0,88 [0.0, 0.0, 0.88] [feas:50,not:0]
g:11 best (5):0,88 [0.0, 0.0, 0.88] [feas:50,not:0]
g:12 best (5):0,88 [0.0, 0.0, 0.88] [feas:50,not:0]
g:13 best (5):0,88 [0.0, 0.0, 0.88] [feas:50,not:0]
g:14 best (13):0,88 [0.0, 0.0, 0.88] [feas:50,not:0]
g:15 best (13):0,88 [0.0, 0.0, 0.88] [feas:50,not:0]
g:16 best (15):0,89 [0.0, 0.0, 0.89] [feas:50,not:0]
g:17 best (15):0,89 [0.0, 0.0, 0.89] [feas:50,not:0]
g:18 best (15):0,89 [0.0, 0.0, 0.89] [feas:50,not:0]
g:19 best (15):0,89 [0.0, 0.0, 0.89] [feas:50,not:0]
g:20 best (19):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:21 best (19):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:22 best (19):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:23 best (19):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:24 best (19):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:25 best (19):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:26 best (19):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:27 best (19):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:28 best (19):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:29 best (19):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:30 best (19):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:31 best (19):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:32 best (31):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:33 best (31):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:34 best (31):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:35 best (31):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:36 best (31):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:37 best (31):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:38 best (31):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:39 best (31):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:40 best (31):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:41 best (40):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:42 best (40):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:43 best (40):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:44 best (40):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:45 best (40):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:46 best (40):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:47 best (40):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:48 best (40):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:49 best (40):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:50 best (40):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:51 best (40):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:52 best (40):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:53 best (40):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:54 best (40):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:55 best (40):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:56 best (40):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:57 best (40):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:58 best (40):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:59 best (40):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:60 best (40):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:61 best (40):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:62 best (40):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
g:63 best (40):0,91 [0.0, 0.0, 0.91] [feas:50,not:0]
